Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,EXPFAIL,CQCONF,HIGHSD
13,B1,FALSE,NTCEC,E,NTC,CY5,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,########,TRUE,3,41,No Amp,,0.000,N,N,N
13,B1,FALSE,NTCEC,HC,NTC,VIC,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,"2,264.032",TRUE,3,25,No Amp,,0.000,N,N,N
13,B1,FALSE,NTCEC,N,NTC,ROX,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,"8,423.782",TRUE,3,19,No Amp,,0.000,N,N,N
13,B1,FALSE,NTCEC,rdrp,NTC,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,########,TRUE,3,29,No Amp,,0.000,N,N,N
14,B2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,33.748,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,26,Amp,,0.950,N,N,Y
14,B2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,34.927,30.748,7.04,,,,,,,,TRUE,"2,264.032",TRUE,3,30,Amp,,0.701,N,Y,Y
14,B2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,32.349,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,24,Amp,,0.964,N,N,Y
14,B2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,33.373,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,28,Amp,,0.917,N,N,Y
15,B3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,13,No Amp,,0.000,N,Y,N
15,B3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,15,No Amp,,0.000,N,Y,N
15,B3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,41,No Amp,,0.000,Y,Y,N
15,B3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,21,No Amp,,0.000,N,Y,N
16,B4,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,3,No Amp,,0.000,N,Y,N
16,B4,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,12,No Amp,,0.000,N,Y,N
16,B4,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,36,No Amp,,0.000,N,Y,N
16,B4,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,3,No Amp,,0.000,N,Y,N
25,C1,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,41,No Amp,,0.000,Y,Y,N
25,C1,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,8,No Amp,,0.000,N,Y,N
25,C1,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,20,No Amp,,0.000,N,Y,N
25,C1,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,27,No Amp,,0.000,N,Y,N
26,C2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,41,Inconclusive,,0.000,Y,Y,N
26,C2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,17,No Amp,,0.000,N,Y,N
26,C2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,41,No Amp,,0.000,Y,Y,N
26,C2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,12,No Amp,,0.000,N,Y,N
27,C3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,24,No Amp,,0.000,N,Y,N
27,C3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,25,No Amp,,0.000,N,Y,N
27,C3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,11,No Amp,,0.000,N,Y,N
27,C3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,23,No Amp,,0.000,N,Y,N
28,C4,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,22.550,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,16,Amp,,0.971,N,N,Y
28,C4,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,20.848,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,17,Amp,,0.866,N,N,Y
28,C4,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,20.163,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,13,Amp,,0.976,N,N,Y
28,C4,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,22.115,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,17,Amp,,0.956,N,N,Y
37,D1,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,13,Inconclusive,,0.000,N,Y,N
37,D1,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,8,No Amp,,0.000,N,Y,N
37,D1,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,41,No Amp,,0.000,Y,Y,N
37,D1,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,13,No Amp,,0.000,N,Y,N
38,D2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,33,Inconclusive,,0.000,N,Y,N
38,D2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,25,No Amp,,0.000,N,Y,N
38,D2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,9,No Amp,,0.000,N,Y,N
38,D2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,8,No Amp,,0.000,N,Y,N
39,D3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,33,No Amp,,0.000,N,Y,N
39,D3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,33,No Amp,,0.000,N,Y,N
39,D3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,27,No Amp,,0.000,N,Y,N
39,D3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,8,No Amp,,0.000,N,Y,N
40,D4,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,26.395,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,19,Amp,,0.963,N,N,Y
40,D4,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,24.773,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,21,Amp,,0.796,N,Y,Y
40,D4,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,24.068,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,16,Amp,,0.980,N,N,Y
40,D4,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,25.849,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,20,Amp,,0.963,N,N,Y
49,E1,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,16,No Amp,,0.000,N,Y,N
49,E1,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,41,No Amp,,0.000,Y,Y,N
49,E1,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,5,No Amp,,0.000,N,Y,N
49,E1,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,3,No Amp,,0.000,N,Y,N
50,E2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,6,No Amp,,0.000,N,Y,N
50,E2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,37,No Amp,,0.000,N,Y,N
50,E2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,17,No Amp,,0.000,N,Y,N
50,E2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,28,No Amp,,0.000,N,Y,N
51,E3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,34,No Amp,,0.000,N,Y,N
51,E3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,34,No Amp,,0.000,N,Y,N
51,E3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,22,No Amp,,0.000,N,Y,N
51,E3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,5,No Amp,,0.000,N,Y,N
52,E4,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,28.974,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,22,Amp,,0.964,N,N,Y
52,E4,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,27.494,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,23,Amp,,0.797,N,Y,Y
52,E4,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,26.772,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,20,Amp,,0.977,N,N,Y
52,E4,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,28.452,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,21,Amp,,0.960,N,N,Y
61,F1,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,37,No Amp,,0.000,N,Y,N
61,F1,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,14,No Amp,,0.000,N,Y,N
61,F1,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,41,No Amp,,0.000,Y,Y,N
61,F1,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,12,No Amp,,0.000,N,Y,N
62,F2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,5,No Amp,,0.000,N,Y,N
62,F2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,33,No Amp,,0.000,N,Y,N
62,F2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,3,No Amp,,0.000,N,Y,N
62,F2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,26,No Amp,,0.000,N,Y,N
63,F3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,15,Inconclusive,,0.000,N,Y,N
63,F3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,19,No Amp,,0.000,N,Y,N
63,F3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,14,No Amp,,0.000,N,Y,N
63,F3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,3,Inconclusive,,0.000,N,Y,N
64,F4,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,7,No Amp,,0.000,N,Y,N
64,F4,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,27,No Amp,,0.000,N,Y,N
64,F4,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,28,No Amp,,0.000,N,Y,N
64,F4,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,10,No Amp,,0.000,N,Y,N
73,G1,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,14,Inconclusive,,0.000,N,Y,N
73,G1,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,15,No Amp,,0.000,N,Y,N
73,G1,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,36,No Amp,,0.000,N,Y,N
73,G1,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,21,No Amp,,0.000,N,Y,N
74,G2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,8,No Amp,,0.000,N,Y,N
74,G2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,37,No Amp,,0.000,N,Y,N
74,G2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,14,No Amp,,0.000,N,Y,N
74,G2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,3,No Amp,,0.000,N,Y,N
75,G3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,26,No Amp,,0.000,N,Y,N
75,G3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,11,No Amp,,0.000,N,Y,N
75,G3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,41,No Amp,,0.000,Y,Y,N
75,G3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,27,No Amp,,0.000,N,Y,N
85,H1,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,33.048,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,25,Amp,,0.955,N,N,Y
85,H1,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,31,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,27,Amp,,0.842,N,N,Y
85,H1,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,31.743,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,26,Amp,,0.969,N,N,Y
85,H1,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,31.896,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,26,Amp,,0.948,N,N,Y
86,H2,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,18,No Amp,,0.000,N,Y,N
86,H2,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,18,No Amp,,0.000,N,Y,N
86,H2,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,17,No Amp,,0.000,N,Y,N
86,H2,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,24,No Amp,,0.000,N,Y,N
87,H3,FALSE,Sample,E,UNKNOWN,CY5,NFQ-MGB,Undetermined,29.733,4.605,,,,,,,,TRUE,########,TRUE,3,31,Inconclusive,,0.000,N,Y,N
87,H3,FALSE,Sample,HC,UNKNOWN,VIC,NFQ-MGB,Undetermined,30.748,7.040,,,,,,,,TRUE,"2,264.032",TRUE,3,8,No Amp,,0.000,N,Y,N
87,H3,FALSE,Sample,N,UNKNOWN,ROX,NFQ-MGB,Undetermined,27.877,5.071,,,,,,,,TRUE,"8,423.782",TRUE,3,12,No Amp,,0.000,N,Y,N
87,H3,FALSE,Sample,rdrp,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.102,4.483,,,,,,,,TRUE,########,TRUE,3,12,No Amp,,0.000,N,Y,N
